,Salis,Miestas,Data,Keliones trukme,Kaina,Keliones tipas
101,Kenija,Watamu pakrantė,2024-02-03,7,1099,egzotine
102,"Šiaurinė pakrantė, Malindi",Kenija,2024-02-03,7,1129,egzotine
103,Šri Lanka,Galė,2024-03-20,10,1681,egzotine
104,Tailandas,Puketas,2024-02-02,14,2797,egzotine
105,Tailandas,Puketas,2024-02-05,10,2700,egzotine
106,Tanzanija,Zanzibaras,2024-03-16,11,1429,egzotine
107,Šri Lanka,Hikaduva,2024-02-07,10,1165,egzotine
108,Kenija,Mombasa,2024-02-03,7,1499,egzotine
109,Šri Lanka,Kalutara,2024-02-28,9,1119,egzotine
110,Tailandas,Puketas,2024-02-03,10,2212,egzotine
111,Šri Lanka,Koggala,2024-02-28,9,1165,egzotine
112,Marokas,Agadyras,2024-03-09,7,1159,egzotine
113,Šiaurės Mauricijus,Poste Lafayette,2024-03-13,8,2009,egzotine
114,Tailandas,Puketas,2024-03-29,14,1789,egzotine
115,Tailandas,Krabi,2024-03-29,14,2029,egzotine
116,Šri Lanka,Ahungalla,2024-04-04,10,1875,egzotine
117,Mauricijus,Trou D'eau Douce,2024-03-17,11,2479,egzotine
118,Tailandas,Pataja,2024-02-27,13,1865,egzotine
119,Tanzanija,Zanzibaras,2024-04-06,11,1499,egzotine
120,Tailandas,Pataja,2024-02-27,13,1989,egzotine
121,Tailandas,Puketas,2024-04-12,14,2525,egzotine
122,Dominikos Respublika,Punta Kana,2024-03-10,12,2625,egzotine
123,Šiaurės Mauricijus,Trou aux Biches,2024-03-31,11,2439,egzotine
124,Kuba,Varaderas,2024-02-18,13,2015,egzotine
125,Slovakija,Žemieji Tatrai,2024-02-14,4,429,pazintine
126,+ Ekskursijos Helsinkyje,Laplandija,2024-02-14,4,559,pazintine
127,"Sorento, Kapri Sala ir kt.",Italija,2024-04-20,3,699,pazintine
128,Hurgada,Egiptas,2024-02-24,7,1445,pazintine
129,Italija,Venecija,2024-02-07,4,489,pazintine
130,"Agadyras, Rabatas ir kt.",Marokas,2024-03-12,11,1689,pazintine
131,Danija,Bilundas,2024-02-11,2,579,pazintine
132,Venecija,Italija,2024-06-15,3,693,pazintine
