Salis,Regionas,Trukme,Kaina,Data,Reitingas,agentura,Keliones tipas
Turkija,Bodrumas,7,444,2024-06-12,4,Kelioniu panorama,poilsine
Turkija,Didim,7,866,2024-05-29,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,462,2024-03-20,4,Kelioniu panorama,poilsine
Egiptas,Šarm El Šeichas,7,573,Nenurodyta,5,Kelioniu panorama,poilsine
Turkija,Belekas,7,876,2024-04-14,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,758,2024-02-24,4,Kelioniu panorama,poilsine
Egiptas,Madinat Makadi,7,721,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,571,Nenurodyta,5,Kelioniu panorama,poilsine
Juodkalnija,Becici,7,523,Nenurodyta,4,Kelioniu panorama,poilsine
Turkija,Alanija,7,479,2024-03-27,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,627,2024-04-03,4,Kelioniu panorama,poilsine
Turkija,Sidė,7,713,2024-06-07,5,Kelioniu panorama,poilsine
Turkija,Alanija,7,644,2024-04-10,5,Kelioniu panorama,poilsine
Turkija,Alanija,7,664,2024-06-04,5,Kelioniu panorama,poilsine
Egiptas,Sahl Hasheesh,7,632,Nenurodyta,5,Kelioniu panorama,poilsine
Graikija,Kreta,7,581,Nenurodyta,4,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,656,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,524,2024-03-20,4,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,469,Nenurodyta,4,Kelioniu panorama,poilsine
Juodkalnija,Tivat,7,631,Nenurodyta,4,Kelioniu panorama,poilsine
Tunisas,Mahdija,7,516,2024-08-27,4,Kelioniu panorama,poilsine
Bulgarija,Burgasas,7,746,Nenurodyta,4,Kelioniu panorama,poilsine
Tenerifė,Golf del Suras,7,1161,2024-02-28,4,Kelioniu panorama,poilsine
Turkija,Evrenseki,7,713,2024-04-06,5,Kelioniu panorama,poilsine
Turkija,Alanija,7,525,2024-04-06,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,978,2024-02-28,5,Kelioniu panorama,poilsine
Turkija,Kemeras,7,813,2024-03-27,5,Kelioniu panorama,poilsine
Turkija,Alanija,7,674,Nenurodyta,5,Kelioniu panorama,poilsine
Turkija,Alanija,7,688,Nenurodyta,5,Kelioniu panorama,poilsine
Turkija,Antalija,7,604,2024-04-04,5,Kelioniu panorama,poilsine
Turkija,Alanija,7,535,Nenurodyta,5,Kelioniu panorama,poilsine
Turkija,Sidė,7,552,2024-06-04,5,Kelioniu panorama,poilsine
Turkija,Alanija,7,432,Nenurodyta,5,Kelioniu panorama,poilsine
Turkija,Bodrumas,7,701,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,584,2024-02-28,4,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,656,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,798,2024-02-28,5,Kelioniu panorama,poilsine
Graikija,CRETE-HERAKLION,7,645,Nenurodyta,4,Kelioniu panorama,poilsine
Kipras,Protare,7,594,2024-03-16,5,Kelioniu panorama,poilsine
Jungtiniai Arabų Emyratai,ABU DHABI - CITY,8,1119,2024-02-29,5,Kelioniu panorama,poilsine
Tunisas,Hammamet,7,527,2024-06-13,4,Kelioniu panorama,poilsine
Turkija,Alanija,7,465,Nenurodyta,5,Kelioniu panorama,poilsine
Madeira,Ponta Delgana,7,719,2024-03-05,4,Kelioniu panorama,poilsine
Zanzibaras,Nungvis,8,788,2024-01-31,3,Kelioniu panorama,poilsine
Italija,ADRIATIC COAST - RIMINI,7,545,Nenurodyta,3,Kelioniu panorama,poilsine
Tunisas,Hammamet,7,532,2024-05-02,5,Kelioniu panorama,poilsine
Tunisas,Monastyras,7,576,2024-05-02,5,Kelioniu panorama,poilsine
Tunisas,Monastyras,7,820,Nenurodyta,5,Kelioniu panorama,poilsine
Graikija,CRETE-HERAKLION,7,558,Nenurodyta,4,Kelioniu panorama,poilsine
Egiptas,Šarm El Šeichas,7,935,2024-02-26,5,Kelioniu panorama,poilsine
Turkija,Turkler,7,693,2024-06-07,5,Kelioniu panorama,poilsine
Turkija,Alanya,7,621,2024-06-04,5,Kelioniu panorama,poilsine
Turkija,Konakli,7,442,Nenurodyta,5,Kelioniu panorama,poilsine
Turkija,Alanija,7,578,2024-06-04,5,Kelioniu panorama,poilsine
Turkija,Konakli,7,482,Nenurodyta,5,Kelioniu panorama,poilsine
Tunisas,Hammamet,7,559,Nenurodyta,5,Kelioniu panorama,poilsine
Turkija,Alanija,7,494,Nenurodyta,5,Kelioniu panorama,poilsine
Tunisas,Susas,7,886,Nenurodyta,5,Kelioniu panorama,poilsine
Tunisas,Enfidha,7,503,Nenurodyta,4,Kelioniu panorama,poilsine
Turkija,Alanija,7,587,Nenurodyta,5,Kelioniu panorama,poilsine
Madeira,Funšalis,7,699,2024-03-05,3,Kelioniu panorama,poilsine
Turkija,Alanija,7,441,Nenurodyta,5,Kelioniu panorama,poilsine
Tenerifė,Puerto de la Krusas,7,866,2024-02-06,4,Kelioniu panorama,poilsine
Egiptas,Šarm El Šeichas,7,659,Nenurodyta,5,Kelioniu panorama,poilsine
Slovakija,Žemieji Tatrai,4,350,2024-02-14,3,Kelioniu panorama,poilsine
Turkija,Antalija,7,696,2024-06-04,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,1161,2024-02-28,5,Kelioniu panorama,poilsine
Turkija,Bodrumas,7,678,2024-05-29,5,Kelioniu panorama,poilsine
Turkija,Antalija,7,910,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Nabq bay,4,745,Nenurodyta,5,Kelioniu panorama,poilsine
Turkija,Sidė,7,628,2024-06-04,5,Kelioniu panorama,poilsine
Turkija,Konakli,7,427,2024-04-07,5,Kelioniu panorama,poilsine
Turkija,Sidė,7,359,2024-03-27,5,Kelioniu panorama,poilsine
Turkija,Alanija,7,649,Nenurodyta,4,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,610,Nenurodyta,5,Kelioniu panorama,poilsine
Egiptas,Hurgada,7,660,2024-02-28,5,Kelioniu panorama,poilsine
Egiptas,Hadaba,4,528,Nenurodyta,5,Kelioniu panorama,poilsine
Tailandas,Pataja,13,1375,2024-03-05,4,Kelioniu panorama,poilsine
Juodkalnija,Petrovac,7,621,Nenurodyta,4,Kelioniu panorama,poilsine
Kipras,Kirenija,7,559,2024-05-10,4,Kelioniu panorama,poilsine
Tunisas,Susas,7,530,Nenurodyta,4,Kelioniu panorama,poilsine
