,Salis,Miestas,Data,Keliones trukme,Kaina,Reitingas,Keliones tipas,Agentura
83,Dominikos Respublika,Punta Kana,2024-03-10,12,2625,5,poilsine,baltictours
84,Šiaurės Mauricijus,Trou aux Biches,2024-03-31,11,2439,3,poilsine,baltictours
85,Kuba,Varaderas,2024-02-18,13,2015,4,poilsine,baltictours
86,Kuba,Varaderas,2024-03-17,13,2025,3,poilsine,baltictours
87,Tailandas,Pataja,2024-03-05,13,2005,4,poilsine,baltictours
88,Kuba,Varaderas,2024-03-17,13,2089,3,poilsine,baltictours
89,Mauricijus,Bel Maras,2024-02-18,10,2339,4,poilsine,baltictours
90,Šri Lanka,Kolombas,2024-03-25,12,2069,4,poilsine,baltictours
91,Mauricijus,Bel Maras,2024-03-17,11,2219,4,poilsine,baltictours
92,Mauricijus,Mon Šuazi,2024-03-17,11,2035,3,poilsine,baltictours
93,Kuba,Varaderas,2024-02-18,13,2175,5,poilsine,baltictours
94,Seišeliai,Mahė sala,2024-02-09,10,2429,4,poilsine,baltictours
95,Mauricijus,Flik an Flak,2024-03-18,10,2349,4,poilsine,baltictours
96,Mauricijus,Flik an Flak,2024-02-18,10,2875,5,poilsine,baltictours
97,Seišeliai,Mahė sala,2024-02-23,10,2349,4,poilsine,baltictours
98,Mauricijus,Bel Maras,2024-02-18,10,2449,4,poilsine,baltictours
99,Afrika,Mauricijus,2024-03-17,11,2259,3,poilsine,baltictours
100,Kenija,Mombasa,2024-02-03,7,1099,4,egzotine,baltictours
101,Kenija,Watamu pakrantė,2024-02-03,7,1099,4,egzotine,baltictours
102,"Šiaurinė pakrantė, Malindi",Kenija,2024-02-03,7,1129,4,egzotine,baltictours
103,Šri Lanka,Galė,2024-03-20,10,1681,5,egzotine,baltictours
104,Tailandas,Puketas,2024-02-02,14,2797,3,egzotine,baltictours
105,Tailandas,Puketas,2024-02-05,10,2700,3,egzotine,baltictours
106,Tanzanija,Zanzibaras,2024-03-16,11,1429,4,egzotine,baltictours
107,Šri Lanka,Hikaduva,2024-02-07,10,1165,3,egzotine,baltictours
108,Kenija,Mombasa,2024-02-03,7,1499,4,egzotine,baltictours
109,Šri Lanka,Kalutara,2024-02-28,9,1119,4,egzotine,baltictours
110,Tailandas,Puketas,2024-02-03,10,2212,3,egzotine,baltictours
111,Šri Lanka,Koggala,2024-02-28,9,1165,4,egzotine,baltictours
112,Marokas,Agadyras,2024-03-09,7,1159,4,egzotine,baltictours
113,Šiaurės Mauricijus,Poste Lafayette,2024-03-13,8,2009,4,egzotine,baltictours
